rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
763,5,4622,4622,0.04,153.15,0.0008
764,7,5604,5604,0.04,146.22,0.0007
765,28,8383,8383,0.04,142.78,0.0007
766,20,5365,5365,0.04,141.09,0.0007
767,48,5557,5557,0.04,134.42,0.0007
768,19,5221,5221,0.04,133.87,0.0007
769,6,248,248,0.04,132.76,0.0007
770,54,8743,8743,0.04,132.07,0.0007
771,18,5702,5702,0.04,128.66,0.0006
772,47,5701,5701,0.04,127.82,0.0006
773,39,3877,3877,0.04,127.13,0.0006
774,41,5365,5365,0.04,126.05,0.0006
775,57,5030,5030,0.04,123.8,0.0006
776,10,4983,4983,0.04,121.12,0.0006
777,38,4235,4235,0.04,116.34,0.0006
778,39,5534,5534,0.04,113.6,0.0006
779,27,5630,5630,0.04,113.47,0.0006
780,55,463,463,0.04,112.82,0.0006
781,46,3948,3948,0.04,112.27,0.0006
782,49,6469,6469,0.04,111.87,0.0006
783,35,3253,3253,0.04,110.7,0.0005
784,22,3949,3949,0.04,110.48,0.0005
785,14,4093,4093,0.04,110.16,0.0005
786,34,4356,4356,0.04,109.19,0.0005
787,40,3133,3133,0.04,109.18,0.0005
788,24,5388,5388,0.04,104.34,0.0005
789,12,4045,4045,0.04,104.25,0.0005
790,36,3925,3925,0.04,103.06,0.0005
791,2,8479,8479,0.04,102.09,0.0005
792,37,3951,3951,0.04,101.53,0.0005
793,8,6109,6109,0.04,101.21,0.0005
794,12,4285,4285,0.04,100.26,0.0005
795,24,3974,3974,0.04,99.37,0.0005
796,13,3589,3589,0.04,98.46,0.0005
797,24,66,66,0.04,98.06,0.0005
798,8,5463,5463,0.04,97.81,0.0005
799,31,3949,3949,0.04,97.61,0.0005
800,35,3421,3421,0.04,97.55,0.0005
801,6,439,439,0.04,96.59,0.0005
802,60,4380,4380,0.04,95.93,0.0005
803,53,3758,3758,0.04,95.42,0.0005
804,6,713,713,0.04,95.21,0.0005
805,48,3998,3998,0.04,94.34,0.0005
806,19,3756,3756,0.04,93.96,0.0005
807,52,3923,3923,0.04,93.45,0.0005
808,56,3540,3540,0.04,93.03,0.0005
809,26,4285,4285,0.04,90.77,0.0005
810,59,5607,5607,0.04,90.44,0.0004
811,42,4261,4261,0.04,89.41,0.0004
812,18,3951,3951,0.04,88.41,0.0004
813,47,3951,3951,0.04,88.39,0.0004
814,51,7745,7745,0.04,88.13,0.0004
815,44,4235,4235,0.04,87.63,0.0004
816,59,6038,6038,0.04,87.41,0.0004
817,18,569,569,0.04,85.42,0.0004
818,46,1063,1063,0.04,85.39,0.0004
819,22,7975,7975,0.04,85.38,0.0004
820,9,8561,8561,0.04,85.2,0.0004
821,9,8489,8489,0.04,84.88,0.0004
822,9,8273,8273,0.04,84.64,0.0004
823,24,8753,8753,0.04,84.54,0.0004
824,5,8527,8527,0.04,84.39,0.0004
