rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
56,45,231,247,0.71,32792.59,0.1228
57,5,8055,8119,2.71,32085.91,0.1201
58,1,438,486,2.04,31472.06,0.1178
59,31,1216,1231,0.67,31420.34,0.1176
60,58,1063,1087,1.04,29698.74,0.1112
61,9,311,367,2.38,29361.03,0.1099
62,31,880,967,3.67,28864.26,0.1081
63,44,679,726,2.0,28749.01,0.1076
64,33,1111,1159,2.04,28367.17,0.1062
65,20,495,503,0.38,27911.17,0.1045
66,21,415,440,1.08,27866.25,0.1043
67,10,7982,8009,1.17,27834.09,0.1042
68,2,8319,8329,0.46,27332.34,0.1023
69,27,8128,8144,0.71,26439.27,0.099
70,29,111,122,0.5,26278.65,0.0984
71,19,1096,1135,1.67,24920.54,0.0933
72,21,141,152,0.5,24598.53,0.0921
73,55,8681,8759,3.29,24510.17,0.0918
74,49,788,799,0.5,24307.55,0.091
75,15,8429,8471,1.79,24020.87,0.0899
76,27,7999,8047,2.04,23512.95,0.088
77,39,8728,8759,1.33,22521.24,0.0843
78,13,8142,8167,1.08,22491.39,0.0842
79,38,8383,8407,1.04,22470.68,0.0841
80,24,0,7,0.33,22408.32,0.0839
81,40,761,770,0.42,21481.56,0.0804
82,1,1000,1050,2.12,21195.95,0.0794
83,12,223,246,1.0,20894.09,0.0782
84,43,1615,1635,0.88,20526.71,0.0768
85,56,751,775,1.04,20152.07,0.0754
86,29,7961,7977,0.71,19596.33,0.0734
87,29,8695,8719,1.04,19106.3,0.0715
88,50,232,247,0.67,18789.12,0.0703
89,31,1039,1063,1.04,18750.05,0.0702
90,59,703,727,1.04,18709.64,0.07
91,48,8239,8287,2.04,18690.48,0.07
92,3,1150,1159,0.42,18378.92,0.0688
93,52,151,185,1.46,17546.82,0.0657
94,45,8743,8758,0.67,16897.23,0.0633
95,4,8191,8215,1.04,16855.5,0.0631
96,57,103,137,1.46,16664.29,0.0624
97,49,319,367,2.04,16132.6,0.0604
98,60,7938,7966,1.21,15934.8,0.0597
99,14,1031,1040,0.42,15619.1,0.0585
100,18,55,79,1.04,15429.67,0.0578
101,41,8239,8263,1.04,14772.44,0.0553
102,17,631,654,1.0,14692.38,0.055
103,60,8320,8359,1.67,14666.41,0.0549
104,43,391,425,1.46,14648.1,0.0548
105,44,151,199,2.04,14189.03,0.0531
106,9,1721,1732,0.5,13180.24,0.0493
107,30,7975,7999,1.04,12823.86,0.048
108,20,712,721,0.42,12593.72,0.0471
109,30,7648,7658,0.46,12566.07,0.047
110,57,665,673,0.38,12498.32,0.0468
111,24,8407,8432,1.08,12480.54,0.0467
112,42,1423,1447,1.04,11872.3,0.0444
113,48,8084,8111,1.17,11845.14,0.0443
114,5,799,839,1.71,11721.93,0.0439
115,51,1243,1255,0.54,11613.63,0.0435
116,6,270,295,1.08,11599.73,0.0434
