rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
354,57,4935,4959,1.04,3220.91,0.016
355,32,5558,5629,3.0,3217.41,0.016
356,15,8271,8321,2.12,3203.93,0.0159
357,2,4046,4094,2.04,3185.71,0.0158
358,7,5966,5989,1.0,3169.7,0.0157
359,15,5751,5797,1.96,3161.76,0.0157
360,8,377,426,2.08,3154.16,0.0157
361,59,1151,1193,1.79,3147.99,0.0156
362,41,256,266,0.46,3134.15,0.0156
363,24,3638,3686,2.04,3119.7,0.0155
364,41,5870,5917,2.0,3119.47,0.0155
365,45,5797,5799,0.12,3117.65,0.0155
366,35,4887,4943,2.38,3114.61,0.0155
367,54,5870,5941,3.0,3083.79,0.0153
368,27,4911,4934,1.0,3081.24,0.0153
369,37,5056,5079,1.0,3072.55,0.0153
370,1,5918,5965,2.0,3053.1,0.0152
371,56,4887,4934,2.0,3010.25,0.0149
372,57,7769,7818,2.08,3004.58,0.0149
373,34,5895,5901,0.29,2993.55,0.0149
374,26,5245,5293,2.04,2992.34,0.0149
375,52,5727,5795,2.88,2974.96,0.0148
376,20,4358,4405,2.0,2962.43,0.0147
377,21,4550,4598,2.04,2954.19,0.0147
378,36,8679,8719,1.71,2927.73,0.0145
379,59,737,771,1.46,2910.15,0.0145
380,46,5941,5967,1.12,2897.94,0.0144
381,53,1086,1129,1.83,2866.06,0.0142
382,24,328,368,1.71,2865.51,0.0142
383,17,5725,5795,2.96,2842.66,0.0141
384,10,4911,4934,1.0,2810.45,0.014
385,4,1505,1555,2.12,2778.43,0.0138
386,2,5271,5273,0.12,2777.67,0.0138
387,41,4959,4959,0.04,2773.09,0.0138
388,31,5271,5271,0.04,2762.4,0.0137
389,39,5893,5918,1.08,2730.33,0.0136
390,18,5751,5774,1.0,2705.91,0.0134
391,26,856,896,1.71,2704.16,0.0134
392,50,5797,5804,0.33,2694.36,0.0134
393,51,4549,4549,0.04,2654.48,0.0132
394,56,4262,4262,0.04,2652.62,0.0132
395,54,4429,4429,0.04,2652.3,0.0132
396,15,4934,4934,0.04,2650.84,0.0132
397,32,4934,4934,0.04,2645.45,0.0131
398,27,4622,4622,0.04,2644.41,0.0131
399,39,4934,4934,0.04,2644.05,0.0131
400,55,0,32,1.38,2640.2,0.0131
401,45,5102,5102,0.04,2640.03,0.0131
402,3,4910,4910,0.04,2639.99,0.0131
403,33,4934,4959,1.08,2636.44,0.0131
404,44,4887,4887,0.04,2633.25,0.0131
405,19,5103,5103,0.04,2624.91,0.013
406,56,5271,5271,0.04,2623.61,0.013
407,36,5271,5271,0.04,2622.97,0.013
408,39,4551,4551,0.04,2621.67,0.013
409,20,5271,5271,0.04,2620.18,0.013
410,55,4623,4623,0.04,2617.98,0.013
411,14,5271,5271,0.04,2617.52,0.013
412,15,4623,4623,0.04,2616.81,0.013
413,48,4623,4623,0.04,2616.76,0.013
414,27,5127,5127,0.04,2616.68,0.013
415,59,4527,4527,0.04,2615.59,0.013
416,6,5775,5775,0.04,2615.49,0.013
417,29,5271,5271,0.04,2614.74,0.013
418,9,4238,4238,0.04,2614.07,0.013
419,35,5271,5271,0.04,2613.52,0.013
420,26,4695,4695,0.04,2613.39,0.013
421,18,5127,5127,0.04,2612.78,0.013
422,52,4623,4623,0.04,2610.36,0.013
423,46,5271,5271,0.04,2606.55,0.0129
424,4,5967,5967,0.04,2606.51,0.0129
425,3,4959,4959,0.04,2606.14,0.0129
426,54,4622,4622,0.04,2605.31,0.0129
427,47,4959,4959,0.04,2603.18,0.0129
428,10,4623,4623,0.04,2602.19,0.0129
429,58,5271,5271,0.04,2601.48,0.0129
430,21,5223,5223,0.04,2600.85,0.0129
431,46,5701,5798,4.08,2593.01,0.0129
432,40,5198,5198,0.04,2576.89,0.0128
433,54,823,862,1.67,2561.81,0.0127
434,47,5919,5966,2.0,2557.34,0.0127
435,30,5701,5774,3.08,2557.3,0.0127
436,1,4286,4286,0.04,2534.21,0.0126
437,18,17,55,1.62,2498.85,0.0124
438,9,5629,5653,1.04,2494.29,0.0124
439,50,8080,8120,1.71,2484.8,0.0123
440,16,5702,5750,2.04,2470.69,0.0123
441,31,4934,4958,1.04,2465.44,0.0122
442,3,4358,4382,1.04,2443.36,0.0121
443,18,991,1029,1.62,2431.76,0.0121
444,17,8498,8527,1.25,2427.48,0.0121
445,43,1337,1374,1.58,2412.18,0.012
446,22,1169,1206,1.58,2395.73,0.0119
447,11,1759,1794,1.5,2391.4,0.0119
448,16,319,356,1.58,2388.12,0.0119
449,41,5223,5246,1.0,2362.03,0.0117
450,49,1025,1063,1.62,2343.33,0.0116
451,57,4381,4431,2.12,2340.42,0.0116
452,13,4934,4948,0.62,2337.71,0.0116
453,49,5702,5773,3.0,2330.26,0.0116
454,36,5126,5126,0.04,2289.4,0.0114
455,36,8383,8417,1.46,2289.37,0.0114
456,40,5557,5629,3.04,2276.37,0.0113
457,36,6230,6277,2.0,2266.95,0.0113
458,49,5222,5222,0.04,2231.52,0.0111
459,5,319,354,1.5,2220.2,0.011
460,10,5702,5725,1.0,2212.13,0.011
461,6,4935,4948,0.58,2186.17,0.0109
462,7,1409,1441,1.38,2172.42,0.0108
463,4,4191,4237,1.96,2162.92,0.0107
464,11,4214,4261,2.0,2161.67,0.0107
465,57,4528,4540,0.54,2158.63,0.0107
466,47,5606,5629,1.0,2155.45,0.0107
467,37,8296,8328,1.38,2144.02,0.0106
468,36,4598,4623,1.08,2139.69,0.0106
469,58,5077,5077,0.04,2139.14,0.0106
470,50,5894,5894,0.04,2127.99,0.0106
471,48,5629,5630,0.08,2106.4,0.0105
472,39,1889,1901,0.54,2102.51,0.0104
473,57,4262,4262,0.04,2071.9,0.0103
474,10,5102,5102,0.04,2067.7,0.0103
475,21,382,392,0.46,2054.91,0.0102
476,29,4789,4816,1.17,2052.95,0.0102
477,38,5918,5918,0.04,2038.89,0.0101
478,12,4574,4574,0.04,2038.39,0.0101
