rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
424,19,5941,5941,0.04,614.86,0.0023
425,34,3206,3206,0.04,612.71,0.0023
426,23,4286,4286,0.04,602.01,0.0023
427,29,4429,4429,0.04,601.3,0.0023
428,6,5917,5917,0.04,596.42,0.0022
429,26,8215,8215,0.04,593.04,0.0022
430,1,5558,5558,0.04,589.23,0.0022
431,33,5317,5317,0.04,588.68,0.0022
432,36,4406,4406,0.04,585.7,0.0022
433,52,4910,4910,0.04,582.99,0.0022
434,32,5654,5654,0.04,582.29,0.0022
435,49,4742,4742,0.04,577.6,0.0022
436,32,4070,4070,0.04,569.62,0.0021
437,37,7735,7735,0.04,569.12,0.0021
438,17,3901,3901,0.04,568.98,0.0021
439,58,150,152,0.12,564.81,0.0021
440,34,1207,1207,0.04,564.71,0.0021
441,9,3877,3877,0.04,560.56,0.0021
442,41,5126,5126,0.04,556.94,0.0021
443,46,8289,8289,0.04,549.8,0.0021
444,49,5125,5125,0.04,548.2,0.0021
445,37,4045,4045,0.04,546.39,0.002
446,26,3902,3902,0.04,541.76,0.002
447,20,5773,5774,0.08,537.04,0.002
448,16,4958,4958,0.04,535.29,0.002
449,15,4693,4693,0.04,534.03,0.002
450,57,3949,3949,0.04,530.94,0.002
451,23,4982,4982,0.04,509.66,0.0019
452,57,4022,4022,0.04,503.47,0.0019
453,50,1529,1529,0.04,492.97,0.0018
454,51,5582,5582,0.04,490.1,0.0018
455,2,8119,8119,0.04,474.97,0.0018
456,12,5607,5607,0.04,473.21,0.0018
457,10,5558,5558,0.04,471.98,0.0018
458,44,5413,5413,0.04,456.2,0.0017
459,37,4142,4142,0.04,455.24,0.0017
460,8,5198,5198,0.04,452.99,0.0017
461,36,4742,4742,0.04,441.24,0.0017
462,3,1351,1351,0.04,440.04,0.0016
463,10,5269,5269,0.04,436.96,0.0016
464,50,4718,4718,0.04,408.68,0.0015
465,13,5486,5486,0.04,400.31,0.0015
466,15,5485,5485,0.04,399.8,0.0015
467,5,7903,7903,0.04,395.2,0.0015
468,14,343,343,0.04,380.3,0.0014
469,59,4429,4429,0.04,379.19,0.0014
470,2,4405,4405,0.04,377.95,0.0014
471,34,3925,3925,0.04,376.82,0.0014
472,46,5606,5606,0.04,371.07,0.0014
473,9,5535,5535,0.04,370.3,0.0014
474,40,4885,4885,0.04,369.47,0.0014
475,22,5941,5941,0.04,365.62,0.0014
476,40,5918,5918,0.04,350.43,0.0013
477,32,4574,4574,0.04,347.74,0.0013
478,38,4429,4429,0.04,344.61,0.0013
479,17,1375,1375,0.04,342.86,0.0013
480,35,4525,4525,0.04,338.46,0.0013
481,7,4069,4069,0.04,333.2,0.0012
482,40,4213,4213,0.04,331.54,0.0012
483,23,6206,6206,0.04,328.8,0.0012
484,28,5365,5365,0.04,323.96,0.0012
485,2,55,55,0.04,323.38,0.0012
486,39,5127,5127,0.04,321.41,0.0012
487,44,3709,3709,0.04,320.74,0.0012
488,14,4237,4237,0.04,320.38,0.0012
489,43,5413,5413,0.04,315.76,0.0012
490,33,5053,5053,0.04,313.96,0.0012
491,16,5725,5725,0.04,312.48,0.0012
492,37,5053,5053,0.04,312.44,0.0012
493,20,5101,5101,0.04,311.55,0.0012
494,52,5559,5559,0.04,311.5,0.0012
495,1,679,679,0.04,310.63,0.0012
496,36,1121,1121,0.04,310.62,0.0012
497,51,5412,5412,0.04,308.75,0.0012
498,21,4934,4934,0.04,306.41,0.0011
499,30,4933,4933,0.04,305.8,0.0011
500,3,5270,5270,0.04,305.7,0.0011
501,6,3589,3589,0.04,300.41,0.0011
502,60,5077,5077,0.04,299.69,0.0011
503,38,617,617,0.04,296.38,0.0011
504,52,5389,5389,0.04,296.11,0.0011
505,44,5701,5701,0.04,294.45,0.0011
506,27,5725,5725,0.04,293.75,0.0011
507,23,5389,5389,0.04,291.25,0.0011
508,40,1337,1337,0.04,286.41,0.0011
509,53,4429,4429,0.04,280.22,0.001
510,21,4117,4117,0.04,272.45,0.001
511,43,1447,1447,0.04,271.15,0.001
512,46,5822,5822,0.04,267.42,0.001
513,26,4549,4549,0.04,265.04,0.001
514,11,4549,4549,0.04,264.45,0.001
515,30,5463,5463,0.04,262.43,0.001
516,23,4861,4861,0.04,262.42,0.001
517,58,4525,4525,0.04,255.47,0.001
518,57,4285,4285,0.04,252.37,0.0009
519,24,6109,6109,0.04,251.94,0.0009
520,17,5293,5293,0.04,250.67,0.0009
521,12,4429,4429,0.04,249.35,0.0009
522,50,1351,1351,0.04,247.46,0.0009
523,47,4861,4861,0.04,247.12,0.0009
524,25,6036,6036,0.04,245.52,0.0009
525,50,4549,4549,0.04,243.77,0.0009
526,17,4573,4573,0.04,242.41,0.0009
527,41,6013,6013,0.04,236.1,0.0009
528,55,5245,5245,0.04,234.7,0.0009
529,9,5605,5605,0.04,230.95,0.0009
530,41,5437,5437,0.04,230.77,0.0009
531,13,5700,5700,0.04,230.36,0.0009
532,51,5245,5245,0.04,230.0,0.0009
533,52,8060,8060,0.04,229.51,0.0009
